Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
2013-10-20,1,70.1419855298474,7.0,15.1875,8,21.0
2013-10-21,1,122.987868193302,7.0,14.2625,8,61.0
2013-10-24,1,123.163406361057,5.0,12.6875,12,61.0
2013-10-25,1,113.661858634409,7.0,11.8875,7,61.0
2013-10-26,1,161.678805315967,5.0,16.775,10,21.0
2013-10-27,1,102.355195816072,6.0,14.9875,16,65.0
2013-10-28,1,129.482192717092,7.0,14.3625,29,63.0
2013-10-29,1,112.285893935052,7.0,10.775,17,63.0
2013-10-30,1,121.506077008915,6.0,10.4375,10,61.0
2013-10-31,1,133.723541287582,5.0,11.1625,13,21.0
2013-11-01,1,100.182160485504,8.0,10.625,9,63.0
2013-11-02,1,149.172348030766,8.0,8.8875,3,63.0
2013-11-03,1,97.4532740046654,6.0,10.7,15,21.0
2013-11-04,1,137.864260444157,7.0,6.8375,7,63.0
2013-11-05,1,103.700267261952,4.0,8.9,12,61.0
2013-11-06,1,109.097001107423,4.0,8.1375,12,63.0
2013-11-07,1,118.470603286455,6.0,9.5,10,61.0
2013-11-09,1,99.9317959514759,5.0,7.7,16,63.0
2013-11-10,1,108.561660295105,2.0,6.9875,12,63.0
2013-11-12,1,111.970870543294,7.0,5.9375,9,61.0
2013-11-13,1,78.0382483442215,1.0,8.8,12,0.0
2013-11-14,1,121.180219705286,5.0,6.9375,9,21.0
2013-11-15,1,122.76929773359,7.0,6.45,6,21.0
2013-11-17,1,74.3945185864517,2.0,8.8875,8,0.0
2013-11-18,1,129.109032642028,7.0,6.65,5,63.0
2013-11-19,1,106.906118646237,8.0,5.8375,8,61.0
2013-11-21,1,144.359927455555,2.0,3.275,8,10.0
2013-11-22,1,107.962731413831,7.0,5.375,10,21.0
2013-11-27,1,93.5321454303922,8.0,7.3125,12,61.0
2013-11-29,1,104.966463375073,8.0,5.9875,11,63.0
2013-11-30,1,104.09003869481,7.0,5.525,10,20.0
2013-12-01,1,68.0762231823542,5.0,8.6625,20,61.0
2013-12-02,1,113.931498716313,0.0,3.0625,4,10.0
2013-12-03,1,94.7658652080226,8.0,1.7125,6,28.0
2013-12-04,1,128.922855106228,7.0,5.85,11,63.0
2013-12-05,1,120.974699669869,7.0,4.4625,24,63.0
2013-12-06,1,112.015650593347,6.0,1.7875,25,73.0
2013-12-07,1,121.408564819885,5.0,1.0,11,22.0
2013-12-08,1,36.2650169585334,8.0,6.975,16,63.0
2013-12-09,1,134.680550018524,7.0,9.2375,10,45.0
2013-12-10,1,104.352034970751,7.0,7.1875,8,61.0
2013-12-11,1,85.9079819233536,7.0,5.025,9,10.0
2013-12-12,1,88.2075449690532,8.0,2.525,8,28.0
2013-12-13,1,85.5324935340658,7.0,3.5375,6,61.0
2013-12-14,1,120.787742012371,7.0,3.0125,7,61.0
2013-12-15,1,71.5352172710921,8.0,7.925,12,61.0
2013-12-17,1,74.6283250889016,8.0,4.95,8,61.0
2013-12-18,1,86.4115250991858,7.0,6.85,8,10.0
2013-12-19,1,101.589644453608,7.0,7.4,10,63.0
2013-12-20,1,114.601001275823,7.0,5.2875,10,61.0
2013-12-21,1,124.541759682586,8.0,6.5625,13,63.0
2013-12-22,1,41.7300439888931,7.0,8.1375,12,61.0
2013-12-24,1,220.330670230618,7.0,11.4375,18,61.0
2013-12-27,1,152.367434643543,7.0,5.7625,15,63.0
2013-12-29,1,131.267289010755,7.0,5.7125,9,63.0
2013-12-30,1,126.58984459848,4.0,4.75,11,10.0
2014-01-02,1,153.166492227541,7.0,6.25,9,63.0
2014-01-03,1,109.484763536521,7.0,6.8375,10,63.0
2014-01-05,1,67.7899909491401,7.0,6.1875,11,63.0
2014-01-06,1,146.911067784297,7.0,7.9125,11,65.0
2014-01-08,1,99.9068767897401,7.0,8.6375,15,63.0
2014-01-09,1,113.541525918277,7.0,9.6125,16,61.0
2014-01-10,1,119.05554059635,7.0,6.6375,17,61.0
2014-01-11,1,127.95986526115,7.0,5.5875,18,63.0
2014-01-12,1,83.4017498521773,2.0,5.525,16,21.0
2014-01-13,1,103.994034974792,8.0,3.1375,10,69.0
2014-01-14,1,166.347532764571,6.0,4.225,6,28.0
2014-01-15,1,139.042567223334,7.0,3.228571,7,28.0
2014-01-16,1,117.779119691395,8.0,2.7375,9,63.0
2014-01-17,1,94.7938386484339,7.0,6.7375,4,61.0
2014-01-18,1,102.633649837911,7.0,5.8875,8,61.0
2014-01-19,1,53.0014671833047,7.0,2.8625,19,10.0
2014-01-20,1,99.6819363621683,8.0,0.3875,13,61.0
2014-01-21,1,116.784600007305,7.0,-0.65,7,77.0
2014-01-22,1,102.344424741026,8.0,-3.1125,14,22.0
2014-01-23,1,105.740276056438,8.0,-3.1875,11,22.0
2014-01-24,1,143.164448746188,2.0,-5.1625,13,10.0
2014-01-26,1,65.4883238458282,1.0,-8.475,10,10.0
2014-01-27,1,177.797639286942,5.0,0.7,9,69.0
2014-01-28,1,63.9844736113181,7.0,-0.2625,10,10.0
2014-01-29,1,75.1156293987916,7.0,-5.05,13,77.0
2014-01-30,1,140.794194214435,7.0,-4.4875,8,77.0
2014-01-31,1,133.303478983532,8.0,-3.6875,7,10.0
2014-02-01,1,101.932146850505,7.0,3.225,10,63.0
2014-02-03,1,154.323103655617,1.0,3.475,8,10.0
2014-02-04,1,130.284962020954,5.0,3.925,6,10.0
2014-02-05,1,128.512982776585,4.0,3.675,8,10.0
2014-02-06,1,93.2145715747619,7.0,7.875,11,20.0
2014-02-07,1,99.7607356052368,7.0,8.475,15,63.0
2014-02-08,1,120.862739831777,7.0,6.2875,12,61.0
2014-02-09,1,57.0074894928223,5.0,6.7125,15,63.0
2014-02-11,1,93.60500318626259,7.0,4.925,12,61.0
2014-02-12,1,165.738384661521,4.0,6.1,13,10.0
2014-02-14,1,127.922310495651,5.0,5.2125,9,10.0
2014-02-16,1,66.1488570531461,7.0,6.0625,17,63.0
2014-02-18,1,101.128808084497,7.0,7.8,8,10.0
2014-02-19,1,139.712963296062,7.0,6.325,8,61.0
2014-02-20,1,115.493305434483,6.0,9.1,11,10.0
2014-02-21,1,195.749507104036,7.0,7.5125,11,61.0
2014-02-22,1,138.333592943018,7.0,5.925,11,21.0
2014-02-27,1,142.599019478366,1.0,8.8875,7,10.0
2014-02-28,1,121.868073185287,7.0,6.1875,6,61.0
2014-03-01,1,140.96854447309,2.0,5.075,9,10.0
2014-03-02,1,78.304687930775,6.0,6.5625,9,10.0
2014-03-03,1,123.816845981151,0.0,9.1875,10,5.0
2014-03-04,1,110.664379295042,7.0,6.6875,7,10.0
2014-03-05,1,104.010771805795,7.0,4.6875,7,28.0
2014-03-06,1,119.64957040592,3.0,8.925,9,10.0
2014-03-07,1,115.297355656246,6.0,11.275,10,5.0
2014-03-12,1,91.0474158512995,0.0,10.2125,8,0.0
2014-03-16,1,67.1675793738149,7.0,9.3375,24,61.0
2014-03-17,1,141.547905542998,7.0,9.5875,18,61.0
2014-03-18,1,88.2250444509535,7.0,9.6875,16,21.0
2014-03-19,1,99.6845823880711,7.0,9.45,18,61.0
2014-03-21,1,104.8547456835,7.0,6.8875,14,63.0
2014-03-22,1,130.851901605861,5.0,8.85,11,63.0
2014-03-25,1,130.828394911681,2.0,7.725,10,21.0
2014-03-26,1,164.073709880608,5.0,7.85,11,21.0
2014-03-28,1,210.364589078685,8.0,5.4,12,10.0
2014-03-29,1,201.442576014825,3.0,9.375,8,10.0
2014-03-30,1,77.0718729480323,0.0,11.2625,8,28.0
2014-03-31,1,165.782083579859,7.0,7.4375,4,45.0
2014-04-01,1,143.934571968464,8.0,5.7625,13,10.0
2014-04-02,1,145.793768476637,2.0,12.45,8,10.0
2014-04-03,1,199.334213779063,3.0,7.6125,15,10.0
2014-04-04,1,149.094869799179,6.0,6.45,15,0.0
2014-04-05,1,166.366651532902,8.0,9.825,5,61.0
2014-04-06,1,79.4656989548114,7.0,12.1875,8,63.0
2014-04-07,1,175.863088463562,7.0,15.7875,10,63.0
2014-04-08,1,104.711261779938,7.0,9.8125,19,61.0
2014-04-09,1,168.945582350845,7.0,10.1875,20,21.0
2014-04-12,1,230.41912840806,4.0,11.2,12,0.0
2014-04-14,1,126.41212420811,5.0,8.9,23,61.0
2014-04-19,1,290.428956680919,1.0,11.125,13,5.0
2014-04-20,1,57.7509189177541,0.0,13.875,15,5.0
2014-04-21,1,109.431179378053,4.0,13.425,15,0.0
2014-04-22,1,169.196248011103,3.0,15.45,10,10.0
2014-04-23,1,162.980101956576,8.0,9.825,11,21.0
2014-04-29,1,145.382373304754,0.0,18.0875,8,0.0
2014-05-05,1,344.712427419033,8.0,10.7125,6,21.0
2014-05-07,1,90.0459392081919,4.0,14.2125,15,65.0
2014-05-08,1,149.299133313087,7.0,12.45,10,63.0
2014-05-09,1,93.4116822522153,6.0,12.3875,10,61.0
2014-05-10,1,123.724674602317,7.0,13.275,12,61.0
2014-05-11,1,61.0065824620734,7.0,11.5625,12,63.0
2014-05-12,1,117.63724487723,7.0,12.7,14,63.0
2014-05-13,1,140.036281903001,7.0,11.5625,15,21.0
2014-05-17,1,128.405482365147,0.0,16.625,8,0.0
2014-05-19,1,108.184039506908,6.0,13.7625,8,61.0
2014-05-23,1,129.753386763715,7.0,18.0125,12,65.0
2014-05-27,1,114.85034360851,7.0,12.8875,21,21.0
2014-05-28,1,190.55318445032,7.0,10.2,22,21.0
2014-06-01,1,93.4027092149433,7.0,13.825,6,21.0
2014-06-05,1,194.604241155943,5.0,15.0375,18,65.0
2014-06-08,1,116.13410257794,6.0,22.1,12,21.0
2014-06-11,1,149.446544671322,7.0,20.5,8,61.0
2014-06-13,1,181.076990157327,7.0,17.45,18,21.0
2014-06-16,1,162.607017592405,6.0,18.3125,10,0.0
2014-06-19,1,129.894799169399,7.0,15.2875,19,21.0
2014-06-21,1,162.410672754329,6.0,15.5125,18,61.0
2014-06-24,1,119.068455962972,7.0,14.3625,7,21.0
2014-06-26,1,139.644833904018,6.0,17.575,8,63.0
2014-06-27,1,149.199619823898,4.0,20.1625,7,95.0
2014-06-28,1,234.368963456298,6.0,16.9625,6,95.0
2014-06-29,1,99.024824945212,7.0,17.3125,8,61.0
2014-07-01,1,79.4657766414776,6.0,15.6875,14,61.0
2014-07-05,1,150.979319145129,6.0,24.5875,10,65.0
2014-07-08,1,109.606492090567,7.0,19.6,15,63.0
2014-07-09,1,116.752191041734,0.0,24.65,24,5.0
2014-07-10,1,132.724706258412,0.0,24.757142,18,0.0
2014-07-13,1,80.4531140833734,7.0,18.6,10,61.0
2014-07-14,1,153.698550894933,7.0,19.45,15,63.0
2014-07-21,1,137.703002341753,0.0,23.4875,19,5.0
2014-07-26,1,171.321523510186,6.0,22.375,10,21.0
2014-07-27,1,90.1816334935297,3.0,25.55,12,21.0
2014-07-31,1,174.333709830106,3.0,22.4375,12,21.0
2014-08-03,1,75.380692980006,5.0,23.0875,9,63.0
2014-08-07,1,172.493580385229,7.0,20.3125,6,61.0
2014-08-09,1,216.790146013299,6.0,20.1,17,61.0
2014-08-11,1,186.843287518034,4.0,20.075,13,21.0
2014-08-12,1,155.633056469153,5.0,16.9125,12,95.0
2014-08-14,1,162.312059256018,7.0,18.05,10,65.0
2014-08-15,1,232.668688554884,6.0,18.3625,8,61.0
2014-08-16,1,229.321098599377,6.0,17.2,15,61.0
2014-08-18,1,204.943578961263,6.0,15.2,15,61.0
2014-08-19,1,157.516513226105,6.0,14.0875,12,61.0
2014-08-20,1,175.194857952978,5.0,15.675,17,21.0
2014-08-21,1,177.59614021373,5.0,16.2625,11,21.0
2014-08-22,1,196.422158119718,7.0,16.325,12,61.0
2014-08-23,1,226.633053661476,4.0,15.9875,11,21.0
2014-08-24,1,151.925968486667,3.0,16.3125,20,21.0
2014-08-25,1,202.245341655226,5.0,14.7875,13,65.0
2014-08-28,1,147.59794847913,0.0,19.75,9,0.0
2014-08-29,1,119.001507763099,5.0,19.125,12,63.0
2014-08-30,1,162.81504486744,7.0,17.75,9,61.0
2014-08-31,1,136.994199378168,7.0,16.375,8,21.0
2014-09-01,1,192.583927536972,7.0,17.875,12,61.0
2014-09-07,1,48.9648440975496,5.0,20.0,6,21.0
2014-09-08,1,177.361261107402,4.0,17.375,12,21.0
2014-09-09,1,128.017374563252,6.0,17.125,16,63.0
2014-09-14,1,60.5960658536456,7.0,17.625,14,61.0
2014-09-19,1,140.144453118865,0.0,20.75,9,5.0
2014-09-20,1,197.959086294477,3.0,19.375,7,10.0
2014-09-21,1,80.5859142164798,4.0,17.0,15,21.0
2014-09-22,1,134.865103794751,6.0,13.0,17,21.0
2014-09-24,1,108.711123767423,7.0,15.375,10,63.0
2014-09-25,1,108.067086651751,7.0,14.5,17,61.0
2014-09-26,1,117.377429960871,7.0,16.75,13,61.0
2014-09-30,1,125.317010604255,7.0,16.5,5,61.0
2014-10-01,1,159.473253138624,6.0,17.75,6,10.0
2014-10-03,1,62.591191559266,3.0,20.0,6,10.0
2014-10-04,1,194.365187583031,0.0,18.5,8,5.0
2014-10-06,1,178.335670094664,2.0,15.75,15,10.0
2014-10-07,1,141.858863346968,7.0,13.0,10,65.0
2014-10-08,1,134.873921318631,6.0,14.125,10,61.0
2014-10-12,1,97.9850226394533,5.0,15.125,7,20.0
2014-10-13,1,129.878383258938,7.0,12.625,12,63.0
2014-10-14,1,175.011253800233,6.0,14.0,5,61.0
2014-10-15,1,206.8382090708,7.0,13.875,6,21.0
2014-10-16,1,147.570549356915,7.0,13.5,6,61.0
2014-10-17,1,144.357853437456,7.0,14.375,10,65.0
2014-10-18,1,158.152130377889,7.0,15.25,7,21.0
2014-10-19,1,58.8534096103563,7.0,17.375,13,95.0
2014-10-20,1,158.382558902343,6.0,14.625,18,61.0
2014-10-21,1,125.363981222897,7.0,12.5,9,63.0
2014-10-22,1,127.765051280508,6.0,13.0,12,0.0
2014-10-23,1,144.21773201944,6.0,13.125,7,0.0
2014-10-25,1,191.425316581712,7.0,12.125,7,61.0
2014-10-26,1,116.487886781866,5.0,12.75,9,0.0
2014-10-29,1,103.569554336818,7.0,8.375,7,20.0
2014-10-30,1,122.18216764664,2.0,10.625,5,10.0
2014-10-31,1,132.486279254048,8.0,12.875,5,10.0
2014-11-01,1,142.507059241702,2.0,16.5,8,0.0
2014-11-02,1,99.288586999622,3.0,15.375,10,21.0
2014-11-03,1,137.822879577546,4.0,13.75,12,0.0
2014-11-04,1,103.123747563607,7.0,11.625,8,61.0
2014-11-05,1,113.078967477055,7.0,9.5,11,61.0
2014-11-06,1,138.399464430445,5.0,8.875,10,0.0
2014-11-07,1,125.3258349714,0.0,8.625,9,10.0
2014-11-10,1,132.450933802593,6.0,8.75,7,61.0
2014-11-11,1,122.885078853966,2.0,8.625,7,10.0
2014-11-12,1,95.3481999188746,7.0,9.75,10,10.0
2014-11-13,1,143.750350209673,7.0,10.75,4,28.0
2014-11-14,1,133.77429991274,7.0,10.75,10,10.0
2014-11-15,1,157.956829595601,8.0,9.25,14,10.0
2014-11-16,1,69.2794517983636,7.0,8.0,14,61.0
2014-11-17,1,138.752246637463,7.0,9.625,7,10.0
2014-11-18,1,134.68843263499,7.0,8.875,13,61.0
2014-11-19,1,131.262024072649,7.0,8.5,11,61.0
2014-11-20,1,131.314789763352,5.0,6.125,7,0.0
2014-11-21,1,142.895603194534,6.0,6.5,5,61.0
2014-11-22,1,92.6616360079896,7.0,5.75,9,61.0
2014-11-23,1,88.8532704507342,6.0,6.75,7,21.0
2014-11-24,1,135.495058395216,3.0,9.375,10,0.0
2014-11-25,1,125.776456029191,0.0,6.875,4,0.0
2014-11-27,1,114.36674051771,0.0,4.5,10,10.0
2014-11-28,1,125.770265298128,6.0,1.625,16,10.0
2014-11-29,1,143.276224653699,8.0,1.0,10,5.0
2014-11-30,1,70.5238191319592,8.0,0.0,11,10.0
2014-12-01,1,128.454115308343,7.0,-2.0,13,10.0
2014-12-02,1,154.242632883405,8.0,-3.0,7,10.0
2014-12-03,1,133.99080245511,7.0,0.625,10,10.0
2014-12-04,1,124.167763102648,8.0,3.75,9,61.0
2014-12-05,1,83.5104305885102,7.0,2.0,7,61.0
2014-12-06,1,127.894073901772,2.0,5.75,7,10.0
2014-12-07,1,75.5129227390682,7.0,4.875,12,61.0
2014-12-08,1,102.678761832615,7.0,3.25,8,61.0
2014-12-09,1,110.476546068652,8.0,2.125,9,45.0
2014-12-10,1,99.9187171842705,5.0,4.875,13,61.0
2014-12-11,1,109.754570057738,7.0,4.0,12,95.0
2014-12-12,1,109.142671748118,7.0,7.25,18,61.0
2014-12-13,1,124.956684401136,5.0,4.75,10,61.0
2014-12-14,1,102.80557310108,4.0,3.5,9,10.0
2014-12-15,1,96.3136936339829,7.0,4.75,11,61.0
2014-12-16,1,97.7685842370004,8.0,4.625,12,61.0
2014-12-17,1,102.856835442046,7.0,3.625,10,61.0
2014-12-18,1,112.769700687238,7.0,10.0,11,61.0
2014-12-19,1,100.434605432296,5.0,8.125,15,61.0
2014-12-20,1,92.9765497836537,6.0,5.375,24,21.0
2014-12-21,1,74.1776353738615,6.0,6.625,14,21.0
2014-12-22,1,166.062608421996,7.0,9.75,21,63.0
2014-12-23,1,184.21718934313,7.0,9.125,19,61.0
2014-12-24,1,289.724706873301,5.0,7.75,21,61.0
2014-12-28,1,65.5011765409885,1.0,-0.5,7,0.0
2014-12-29,1,159.353174871792,5.0,0.75,10,0.0
2014-12-30,1,171.900364677079,7.0,5.25,9,21.0
2014-12-31,1,253.25502096677,6.0,7.375,11,61.0
2015-01-02,1,171.436480362582,6.0,7.75,24,61.0
2015-01-03,1,146.725466464595,7.0,4.875,25,69.0
2015-01-05,1,159.498680849924,8.0,5.875,8,20.0
2015-01-06,1,116.621821467299,8.0,3.625,8,10.0
2015-01-07,1,116.046870294295,6.0,5.75,10,61.0
2015-01-08,1,88.9219763738156,8.0,6.375,9,61.0
2015-01-09,1,89.5158553261206,6.0,7.5,25,63.0
2015-01-10,1,67.954839483437,6.0,10.0,28,61.0
2015-01-11,1,102.503556455298,5.0,4.25,23,61.0
2015-01-12,1,122.717043089708,7.0,7.5,19,61.0
2015-01-13,1,86.441812930424,7.0,7.75,14,61.0
2015-01-14,1,72.7918398175921,6.0,3.125,16,71.0
2015-01-15,1,93.7671799134285,7.0,6.75,14,61.0
2015-01-16,1,131.913950068001,6.0,6.75,13,0.0
2015-01-17,1,115.086208812258,1.0,4.25,12,21.0
2015-01-18,1,47.8910511689248,8.0,2.0,9,61.0
2015-01-19,1,138.935449172918,7.0,1.0,5,71.0
2015-01-20,1,116.932538278351,7.0,-0.375,4,77.0
2015-01-21,1,90.1034587863099,8.0,-1.125,4,10.0
2015-01-22,1,135.950512983467,7.0,-1.375,3,49.0
2015-01-23,1,130.976061288992,8.0,-1.25,5,20.0
2015-01-24,1,140.03186322028,7.0,-0.5,10,71.0
2015-01-26,1,150.51678717379,7.0,3.375,10,61.0
2015-01-28,1,124.273404481234,7.0,4.875,17,61.0
2015-01-29,1,129.932530553471,7.0,1.5,12,75.0
2015-01-31,1,129.039421255357,7.0,-2.375,7,49.0
2015-02-01,1,92.189837282486,7.0,-0.25,9,75.0
2015-02-02,1,159.254353701805,6.0,1.0,10,22.0
2015-02-03,1,112.095171542871,7.0,-1.0,10,77.0
2015-02-04,1,111.66941350432,6.0,-1.875,9,0.0
2015-02-05,1,133.827962608871,5.0,0.75,10,22.0
2015-02-06,1,136.337106368056,2.0,-0.5,6,22.0
2015-02-07,1,130.642229801113,7.0,4.125,18,20.0
2015-02-09,1,112.747460478504,7.0,6.875,13,61.0
2015-02-12,1,99.5801689919554,8.0,2.0,4,10.0
2015-02-13,1,91.3547288868634,8.0,1.25,6,10.0
2015-02-14,1,62.2346006049711,7.0,1.625,9,28.0
2015-02-15,1,96.7929953706798,7.0,3.125,16,10.0
2015-02-16,1,118.255475071685,8.0,2.0,9,10.0
2015-02-17,1,118.509639861913,6.0,1.125,7,45.0
2015-02-18,1,123.267817249283,3.0,5.5,12,10.0
2015-02-19,1,123.69090336092,0.0,6.25,13,5.0
2015-02-20,1,117.287703917599,8.0,3.875,11,71.0
2015-02-21,1,107.174143505865,7.0,3.875,16,61.0
2015-02-22,1,70.4631468349699,5.0,5.25,13,0.0
2015-02-23,1,66.8925102653853,7.0,4.5,12,61.0
2015-02-24,1,105.730056008902,7.0,5.625,12,61.0
2015-02-26,1,104.017958777385,5.0,6.625,10,0.0
2015-02-27,1,101.514216092369,7.0,4.5,9,61.0
2015-02-28,1,99.5688944630867,3.0,5.625,10,0.0
2015-03-01,1,45.7343245346269,7.0,6.75,15,61.0
2015-03-02,1,104.963808490064,6.0,5.125,23,61.0
2015-03-03,1,96.3163361056603,6.0,5.0,14,61.0
2015-03-04,1,76.5028628068188,6.0,5.0,18,61.0
2015-03-06,1,100.668607215573,7.0,8.125,12,20.0
2015-03-07,1,106.704697425172,7.0,10.125,13,0.0
2015-03-10,1,120.053548888447,3.0,9.5,13,10.0
2015-03-12,1,123.321210172569,0.0,7.125,10,0.0
2015-03-15,1,56.9672232806217,7.0,5.75,13,21.0
2015-03-16,1,136.698666060069,2.0,8.625,13,10.0
2015-03-17,1,136.644449549369,1.0,10.75,11,5.0
2015-03-19,1,121.351949525045,0.0,10.375,9,0.0
2015-03-20,1,125.078492851656,7.0,5.0,9,45.0
2015-03-21,1,113.449213775737,7.0,4.5,21,61.0
2015-03-24,1,114.539801718388,6.0,7.875,6,0.0
2015-03-25,1,85.7675699240561,6.0,7.875,14,5.0
2015-03-26,1,126.909561618178,7.0,7.125,9,0.0
2015-03-27,1,113.205121341153,7.0,7.0,7,61.0
2015-03-29,1,56.8890738313162,7.0,8.25,12,61.0
2015-03-30,1,110.288515770675,6.0,6.5,29,61.0
2015-03-31,1,101.620422865145,7.0,6.375,35,61.0
2015-04-01,1,134.425214341545,4.0,5.0,24,22.0
2015-04-02,1,269.424940927989,6.0,6.5,19,61.0
2015-04-07,1,115.651138885906,7.0,7.75,14,61.0
2015-04-09,1,157.556996562067,2.0,11.875,7,0.0
2015-04-10,1,125.640782296666,1.0,14.125,8,5.0
2015-04-11,1,149.471145855324,2.0,16.75,14,61.0
2015-04-13,1,94.5357769724487,4.0,8.875,21,61.0
2015-04-14,1,95.7358790995654,7.0,10.75,17,61.0
2015-04-15,1,102.93265639072,0.0,15.5,19,5.0
2015-04-16,1,90.5282058330727,6.0,9.375,16,21.0
2015-04-21,1,121.935695795117,0.0,14.625,17,5.0
2015-04-24,1,93.8539762667653,2.0,13.875,9,20.0
2015-04-25,1,121.601177999412,7.0,13.75,8,63.0
2015-04-26,1,71.0071270593663,8.0,7.0,11,61.0
2015-04-30,1,185.547465909923,6.0,11.375,10,61.0
2015-05-02,1,205.277811156554,3.0,11.0,12,0.0
2015-05-03,1,49.1824014028742,1.0,14.75,12,61.0
2015-05-04,1,141.916859730021,5.0,15.875,13,21.0
2015-05-05,1,98.3386635883964,4.0,20.0,15,95.0
2015-05-06,1,112.613312971486,3.0,17.125,11,21.0
2015-05-07,1,119.486322756166,6.0,12.0,16,21.0
2015-05-09,1,122.939690460506,7.0,13.5,14,61.0
2015-05-10,1,54.676729153515,2.0,12.75,18,0.0
2015-05-12,1,94.6018729487518,7.0,14.625,14,63.0
2015-05-13,1,166.814781762185,7.0,11.875,16,21.0
2015-05-14,1,53.434236162362,7.0,11.25,10,20.0
2015-05-16,1,164.984948024753,7.0,10.5,11,61.0
2015-05-17,1,63.05558764595,3.0,12.625,17,21.0
2015-05-18,1,103.802316848696,6.0,11.625,8,61.0
2015-05-19,1,142.786482873821,6.0,10.125,11,63.0
2015-05-20,1,92.0360687468511,5.0,12.25,9,63.0
2015-05-21,1,147.957523681187,6.0,12.625,10,61.0
2015-05-23,1,212.693141838497,5.0,13.375,8,0.0
2015-05-25,1,93.8478895546048,7.0,11.75,10,61.0
2015-05-26,1,126.885645229909,6.0,13.0,14,21.0
2015-05-27,1,102.221242794941,7.0,12.625,13,61.0
2015-05-28,1,113.871596753032,6.0,13.125,12,63.0
2015-05-29,1,132.425641438842,6.0,14.625,8,61.0
